no,berita,tagging
11,lele rupa bahan makan yang cukup populer di indonesia  namun belakang ini  sebar kabar bahwa konsumsi ikan lele bahaya bagi sehat tubuh  kabar bahwa satu suap ikan lele kandung ratus bahkan ribu picu sel kanker  benar  mari kita sedikit kenal lebih jauh tentang seluk beluk ikan lele  ikan lele  clarias spp   adalah jenis ikan yang hidup di air tawar  karakteristik lele mudah nali dari tubuh yang licin  agak pipih panjang  serta milik sesuatu seperti kumis yang panjang  yang cuat dari sekitar bagi mulut habitat lele umum ada di sungai dengan arus yang perlahan  rawa  telaga  waduk  sawah yang genang air  lumpur  got maupun selokan  mampu hidup lele pada lingkung yang kotor dan cemar pengaruh oleh alat nafas tambah yang upa labirin yang fungsi bagai nyaring kotor dari lingkung tempat hidup lele  ikan lele juga kenal bagai ikan yang paling jorok  hal ini rujuk pada sifat ikan lele yang doyan konsumsi segala jenis limbah di air tempat ia hidup  tiap 100 gram daging ikan lele kandung energi besar 229 kilokalori  kandung protein dari lele dengan porsi itu sekitar 18 gram  karbohidrat sekitar 8 gram  serat 0 7 gram dan lemak besar 13 gram  ikan lele juga kandung bagai vitamin dan mineral seperti vitamin c  vitamin a  vitamin b kompleks  vitamin b12  serta kalsium  magnesium  fosfor  kalium  natrium  dan zinc  ikan lele juga kaya kandung vitamin d daging ikan lele juga kandung asam lemak omega 3 banyak 220 mg dan omega 6 banyak 875 mg serta dapat kurang lebih 15 6 gram protein pada 1 ekor lele  nutrisi yang dapat pada lele ini sangat erat hubung dengan tumbuh yang baik utama pada anak yang sedang dalam masa tumbuh serta manfaat untuk jaga sehat jantung dan otak  dasar papar kandung gizi ikan lele dapat simpul bahwa nyata ikan lele sangat kaya manfaat bagi tubuh manusia  lalu mengapa orang harus khawatir untuk konsumsi lele  pada dasar lingkung yang kotor yang dapat picu lele jadi bahaya untuk konsumsi  lele yang hidup pada lingkung air yang kotor potensi untuk papar senyawa kimia yang bahaya seperti logam berat dan zat cemar yang dapat pada polutan air  senyawa kimia yang paling bahaya yang mungkin dapat konsumsi lele adalah merkuri  merkuri  hg  rupa senyawa kimia organik yang sangat racun yang dapat acau sistem saraf manusia apabila konsumsi  namun kita tidak perlu terlalu khawatir kena isu kena ikan lele yang konon kata potensi picu kanker  ikan lele yang umum ada di pasar bukan rupa ikan lele yang asal dari alam liar lain adalah ikan lele yang telah dibudidayakan di kolam dan telah kendali agar bebas dari cemar  pakan yang beri pada lele budidaya juga umum adalah pakan non-limbah sehingga lele sebut tidak papar senyawa kimia bahaya  lele budidaya malah kandung asam amino yang cukup tinggi  tinggi kadar asam amino ini sendiri dapat kurang resiko kanker jenis tentu maupun adang rheumatoid artritis  selain itu belum ada teliti resmi yang nyata bahwa makan lele dapat picu kanker  walau demikian kita juga tetap harus hati hadap segala sesuatu yang kita konsumsi  untuk oleh manfaat ikan lele sekaligus cegah resiko  ada baik konsumsi ikan lele batas  selain itu ada baik asupan ikan dari jenis lain lebih variasi agar cukup gizi dari komoditas ikan dapat lebih penuh  satu hal yang tak kalah penting untuk konsumsi lele adalah dengan masak lele dengan cara yang tepat dan sehat agar lele yang kita santap benar baik  halal dan manfaat bagi tubuh kita ,Valid
12,6,"""""""D"
13,alam suap daging ikan lele  kandung 3 000 sel kanker    judul artikel sebut beberapa hari akhir jadi bicara hangat di media sosial  namun bagi pembudidaya lele  artikel sebut anggap ancam langsung usaha mereka  dinas ikan dan laut jawa timur  tampung keluh para laku bisnis budidaya lele di jawa timur yang singgung atas edar artikel sebut    artikel sebut adalah kampanye hitam untuk jatuh jual pasar lele yang prospek pasar terus baik    kata kepala dinas ikan dan laut jawa timur  rabu  28 10 2015   dia khawatir  artikel yang benar gambar buah budidaya lele di kota haikou  china itu dampak pada pasar lele di jatim  turut dia  konsumen lele adalah konsumen ikan di level ii  di level i adalah konsumen ikan kelas atas seperti tuna  kakap  kerapu  dan bagai    konsumen kelas i tidak akan goyah dengan sebar isu apa pun  tapi untuk konsumen kelas ii  ini masih rentan goyang isu  bisa mereka tidak lagi konsumsi lele karena takut    ujar dia  heru sebut  jatim adalah produsen lele besar cara nasional  dari ratus pembudidaya lele  dalam tiga tahun akhir  produksi lele di jatim terus tingkat  pada 2012 catat produksi besar 62 807 ton  naik pada 2013 jadi 79 928 ton  sementara pada 2014 terus naik jadi 96 830 ton  panjang produksi 2014  2 000 ton di antara ekspor ke luar negeri  produksi lele di jatim kata heru produksi cara sehat sesuai standar cara budidaya ikan yang baik  cbib  bagaimana yang atur perintah dalam putus menteri nomor 02 men 2007    cbib syarat pakan budidaya lele dengan pakan yang sehat yang menitikberatkan pada sehat dan aman pangan    kata dia  cara kala  dinas ikan dan laut jawa timur juga laku monitoring residu pada komoditas lele cara sampling  tahun ini ada 379 sampel yang ambil dari bagai daerah produsen lele seperti sidoarjo  mojokerto  diri  dan tulungagung    hasil  komoditas lele yang uji bebas dari residu hormone  antibiotik  dan logam berat    kata dia  heru curiga  isu tentang lele sebut sengaja hembus pihak tentu untuk penting bisnis ikan jelang pasar bebas mea 2015    ada pihak yang ingin rebut pasar lele dan ganti dengan komoditas ikan lain    kata dia  artikel soal kandung sel kanker unggah di jumlah website  artikel sebut juga sempat kuti jumlah media online bagai bahan diskusi  artikel yang di-posting pada 29 juli 2015 itu urai aku ternak lele dari tiongkok nama zhang ri-hong  pasok lele ke pasar dan rumah makan di pinggir jalan di provinsi hainan  media lalu telusur tentang ikan sebut dengan amat tujuh sampel kolam produsen lele  tujuh kolam sebut keliling kandang ayam dan babi  sedang di tengah tambak sebut dapat banyak tumpu sampah  para ternak ikan sebut imbau tangguh jual lele  belum hasil tes keluar  ,Hoax
14,7,"""Bah"
15,aya konsumsi ikan lele yang kandung sel kanker - lele adalah jenis ikan yang hidup di air tawar  ikan lele mudah nali karena tubuh yang licin  agak pipih panjang  serta milik   kumis   yang panjang  yang cuat dari sekitar bagi mulut  ikan lele rupa salah satu menu makan favorit dan bahkan di tiap warung makan selalu sedia menu ini  karena harga yang cukup murah dan rasa yang enak jadi daya tarik sendiri bagi ikan yang satu ini  meski enak dan murah  ikan lele paling kotor di antara jenis ikan lain yang sering konsumsi oleh manusia  mengapa demikian  hal sebut karena  lele rupa jenis ikan yang mudah kembang biak di tempat yang kotor  lele rupa jenis ikan yang mudah kembang biak di tempat yang kotor karena ikan ini konsumsi limbah upa kotor hewan seperti ayam  sapi  dan babi  bahkan ikan ini juga dapat konsumsi kotor manusia  sehingga dapat mungkin bahwa dalam tubuh ikan lele kandung tiga ribu sel kanker yang sangat bahaya bagi tubuh manusia  ikan lele kandung sel kanker  kabar ikan lele kandung 3 000 sel kanker muncul pertama kali di tiongkok  buah artikel yang sebut ikan lele kotor dan jorok jadi viral di media sosial  artikel itu sebut bahwa kotor manusia juga jadi pakan di buah tempat budidaya ikan lele di kota haikou  china  kendati demikian  nikmat ikan lele minta untuk tidak pengaruh dengan informasi sebut  pasal  ikan lele di indonesia beda dengan tiongkok  lepas dari semua itu  ada manfaat ikan lele untuk sehat  nyata ikan yang satu ini selain enak juga kandung beberapa zat yang baik bagi sehat tubuh manusia  kandung yang dapat pada ikan lele  selain daging yang gurih nyata daging lele dapat banyak kandung gizi  ikut nilai gizi lele 100 gram  bagi ikan yang dapat di makan dan ikan segar  fao 1972  macam zat gizi bag  ikan yang dapat makan ikan segar utuh  1 kadar air    78 5 47 1 sumber energy  cal   90 54  protein  gr  18 7 11 2 lemak  gr  1 1 0 7 kalsium  ca   mgr  15 9 phosphor  p   mgr  260 156 zat besi  fe   mgr  2 1 2 natrium  mgr  150 90 thiamine  vit b1   mgr  0 10 0 06 riboflavin  vit b2   mgr  0 05 0 03 niacin  mgr  2 0 1 2 dari data atas dapat simpul  bahwa ikan lele kandung protein yang tinggi dan zat kuat tulang  kalsium  yang baik untuk makan  selain itu ikan lele juga kandung mineral lain yang penting pula untuk sehat tubuh  djatmiko hertami 1986  nah demikian beberapa informasi kena ikan lele yang ada di tiongkok  namun di indonesia ikan ini telah dibudidayakan dengan baik oleh para ternak ikan lele dan mereka guna pellet bagai makan bukan guna limbah yang sangat bahaya bagi sehat tubuh manusia  sehingga konsumsi ikan lele di indonesia tidak perlu ragu bersih  namun bagai konsumen yang bijak kita harus tetap waspada dengan kandung ikan ini dan tidak perlu konsumsi ikan lele dalam jumlah yang besar cara rutin karena dapat ganggu sehat kita  ,Hoax
16,8,Di j
17,ejaring sosial  banyak edar informasi yang sebut lele bagai ikan paling jorok  dalam suap daging ikan lele  kandung 3 000 sel kanker  juluk bagai ikan paling jorok rujuk pada sifat lele yang doyan konsumsi segala jenis limbah di air  bahkan buah artikel yang cukup viral di internet sebut kotor manusia juga jadi pakan pada buah budidaya lele di kota haikou  china  ikan ini lengkap alat napas tambah upa labirin  sehingga mampu tahan hidup dalam kondisi air lumpur atau bahkan cemar  agak  hal ini yang muncul duga soal akumulasi racun karsinogen  sebab kanker  di tubuh ikan lele  investigasi  ikan lele yang edar di pasar bukan asal dari alam liar  lele banyak dibudidayakan di kolam  yang mesti bisa kendali agar bebas dari cemar  pakan yang beri juga bisa pilih  tidak harus andal limbah  jumlah produksi lele juga terus tingkat tiap tahun  data menteri laut dan ikan  kkp  sebut produksi lele pada 2013 capai 543 461 ton  tingkat dari 441 217 ton pada 2012 dan 337 577 ton pada 2011  konsumsi ikan lele turut badan pusat statistik  bps  catat 29 98 kg  kapita  tahun  naik dari 22 58 kg  kapita  tahun pada 2004  di jakarta  tak kurang dari 6 000 lapak pecel lele telah daftar di asosiasi dagang kaki lima indonesia  apkli   soal kandung nutrisi  tak bisa dipungkiri bahwa lele adalah sumber protein harga yang murah riah  fakta bahwa ikan lele juga rendah kolesterol seperti bakal tenggelam tuding bahwa lele bisa picu kanker  dr dradjat r suardi  spb  k  onk  ahli kanker dari himpun onkologi indonesia kata hingga saat ini belum ada teliti yang nyata jika makan lele dapat picu kanker ,Hoax
18,9,Jaka
19,rta  buah artikel yang cukup viral di internet sebut bahwa ikan lele kandung 3 000 sel kanker  banyak yang ban  sebab fakta lele justru kandung banyak nutrisi penting  kandung gizi yang ada dalam ikan lele antara lain protein dan asam lemak omega tiga  yang sebut tara dengan ikan salmon  ingat banyak kandung gizi dalam ikan lele  maka hubung antara lele dengan risiko kanker banyak tanya  beda jika guna minyak yang guna kali  bisa jadi picu kanker  namun itu bukan dari ikan lain dari minyak sebut  kata dr dradjat r suardi  spb  k  onk  ahli kanker dari himpun onkologi indonesia saat hubung detikhealth  jumat  23 10 2015   hubung antara minyak yang pakai kali dengan risiko kanker itu sendiri masih bisa debat  lama ini  minyak trans yang bentuk akibat panas ulang lebih sering kait dengan risiko sakit jantung dan buluh darah  tuding bahwa lele bisa picu kanker dasar pada sifat ikan sebut yang doyan konsumsi limbah  juga karena mampu tahan hidup di air lumpur serta cemar  maka muncul anggap racun karsinogen banyak kandung dalam ikan ini  saat ini belum ada teliti yang nyata jika makan lele dapat picu kanker  tegas dr dradjat ,Valid
20,10,Pada
21,dasar tidak ada makan yang bawa sel kanker  pakar kanker dunia sepakat bahwa sel sehat dalam tubuh yang ubah jadi sel kanker karena efek kondisi dalam tubuh akibat pengaruh jumlah hal seperti makan yang milik efek karsinogen  ubah jadi tahap  biasa awal dari rusa sel sehat yang kemudian kembang dengan regenerasi sel yang simpang  jadi memang tidak tepat bila kata ikan lele bawa sel kanker dalam tubuh  bila ikan lele milik efek tingkat risiko kanker  besar mungkin karena ada efek karsinogen yang bawa oleh ikan  jumlah curiga datang dari bagaimana ikan lele hidup  baik dalam alam liar maupun dalam kolam pelihara  karena lele milik daya tahan sangat baik hadap lingkung yang kotor  bahkan lingkung cemar  mereka kadang pelihara dengan beri makan limbah yang khawatir jadi bawa efek karsinogen pada daging ikan  salah satu sumber yang kemudian kembang jadi viral adalah berita tolak amerika hadap ikan lele asal cina  sayang berita yang sampai di indonesia tidak saji berita yang benar  sementara di indonesia berita angkat kena pola pelihara dengan beri pakan kotor babi  benar turut sumber abcnews go com  tolak amerika serikat dasar temu lapang bahwa ikan lele asal cina kandung senyawa anti fungal  anti bakteri  dan jenis klorin yang anggap bahaya dan sifat karsinogen  ini justru tanda bahwa ikan di cina demikian modern hingga beri jumlah senyawa kimia dalam takar yang tidak harus pada kolam mereka  juga gugur informasi bahwa ikan lele asal cina tolak akibat beri makan kotor babi ,Valid
22,11,Clar
23,ias atau yang biasa kita sebut ikan lele belakang ini jadi topik bincang hangat putar dunia sehat  ada yang kait dengan ikan yang panjang hari hidup di air yang kotor  ada juga yang kata dalam suap ikan lele kandung 3000 sel kanker  sangat aneh sekali bila berita macam itu mampu buat banyak orang jadi takut  dalam waktu jab jadi informasi yang viral di dunia maya  perlu tahu bahwa terima informasi dari internet jangan hanya dengan baca judul saja  tapi baca juga isi artikel sampai habis  memang  judul yang sesat tak jarang buat orang jadi penasaran  tak hanya itu saja  rating yang dapat dari sang buat judul pun langsung saja roket  tapi  para netizen ada juga loh yang ketika lihat judul saja sudah langsung percaya kalau ikan lele benar kandung sel kanker  bayang jika berita tak benar itu kemudian percaya dan disebarluaskan oleh banyak baca  para usaha tambak ikan lele bisa akan gulung tikar karena tak ada lagi yang mau beli ikan ini  ikan lele tidak buruk yang bayang  justru ikan ini beri manfaat yang sangat banyak bagi manusia  apa saja manfaat  ikut kami ikan manfaat dan jelas yang benar kena ikan lele  ikan lele mampu cerna makan apa jadi protein ikan yang hidup di air tawar ini bilang bagai ikan yang sangat istimewa  salah satu istimewa adalah mampu yang milik oleh cerna ikan ini dalam ubah apa yang makan jadi sumber protein yang sangat tinggi  masuk kotor sekalipun akan ubah jadi protein lalu sistem cerna  tak hanya jadi menu lengkap saat makan saja  kandung protein yang konsumsi dari ikan lele juga mampu baik proses cerna dan tumbuh pada manusia  selain dapat bantu baik rusa otot  kandung yang dapat dari ikan lele ini pun kenal dapat sembuh sakit herpes  milik kandung phospor yang lebih tinggi dari telur telur kenal bagai bahan makan yang milik kandung phospor besar 100 mg  miligram   namun nyata jumlah ini bilang masih lebih kecil daripada kandung phospor yang dapat pada daging ikan lele yang jumlah capai 168 mg per 100 gram  kandung phospor yang dapat pada ikan lele mampu baik metabolisme dalam tubuh dan beri energi  tak hanya itu saja  manfaat yang paling kenal dari kandung ikan lele adalah untuk kuat gigi dan juga gusi  bantu kendali tekan darah pada otak tidak seperti judul informasi yang dapat di artikel lain yang kata bahwa ikan lele bagai sumber sakit  sini  ikan lele justru kenal bagai makan yang mampu cegah stoke  kandung natrium dan kalium yang dapat pada ikan lele mampu bersih sel darah kotor  lancar edar darah ke otak  hingga ikan ini percaya bagai ikan yang mampu hindar makan dari ganggu stoke  sangat baik untuk ibu yang sedang hamil selain mudah cerna  ikan ini milik banyak sekali kandung gizi buat ibu hamil  kandung rendah lemak serta kaya akan omega 3 yang dapat pada daging percaya mampu bantu proses cerna sang ibu dan kembang pada janin yang kandung  selain beberapa hal atas  manfaat ikan lele juga kenal bagai obat yang paling ampuh untuk obat sakit jantung hingga bersih sel darah kotor yang salur lalu buluh darah ,Valid
24,12,akhi
25,r-akhir ini makin banyak blog bahkan video di youtube yang kata bahwa ikan lele kadung sel kanker yang berbahya jika kita konsumsi  akan tetapi banyak orang yang masih ragu akan kabar sebut dan belum percaya serta tanya tanya apakah benar ikan lele kandung sel kanker dan bahaya jika di konsumsi sedikit bicara kena ikan lele memang ikan lele masuk salah satu ikan yang hidup daerah yang kotor seperti lumpur  limbah  sungai yang lumpur bahkan ada yang pelihara ikan lele di dalam kolam yang risi kotor atau tinja manusia  namun hal ini tidak semua hanya bagi saja dan rupa ulah oleh orang yang tidak tanggung jawab  namun apakah ikan lele memang benar kandung sel kanker dan bahaya jika kita konsumsi nyata tidak hal ini nyata tidak benar sebab walaupun ikan lele hidup di tempat yang jorok namun tidak buat ikan ini kandung sel kanker justru balik ikan ini kandung protein yang kaya dan tinggi serta murah riah so jangan takut akan sel kanker sebut dan tambah sekarang ini ikan lele yang ternak oleh ternak yang guna bibit ikan lele unggul seperti dumbo atau jenis nyata aman untuk konsumsi sebab kadung protein yang tinggi  saya juga sangat suka ikan lele loh dan sampai saat ini saya masih suka konsumsi ikan sebut  inti jangan terlalu percaya dengan hoax yang edar di internet sebab hal sebut belum tentu benar dan terkadang hanya ulah orang iseng saja,Valid
26,13,Ikan
27,lele sebut kandung 3 000 sel kanker  kabar sebut edar di media sosial  ikan air tawar itu juga anggap bagai ikan paling jorok karena makan segala macam jenis kotor  kabar sebut buat pembudidaya ikan lele  milik warung pecel lele  dan nikmat ikan tawar sebut singgung dan pukul  pasal  ikan lele rupa salah satu menu makan favorit di indonesia  hampir tiap warung makan  khusus di jawa timur dan jawa barat  selalu sedia menu ini  selain harga cukup murah  menu ini juga enak  sehingga jadi daya tarik sendiri bagi konsumen  kabar ikan lele kandung 3 000 sel kanker muncul pertama kali di tiongkok  buah artikel yang sebut iklan lele kotor dan jorok jadi viral di media sosial  artikel itu sebut bahwa kotor manusia juga jadi pakan di buah tempat budidaya ikan lele di kota haikou  china  di artikel itu sebut bahwa lele rupa ikan paling kotor di antara jenis ikan lain yang sering konsumsi manusia  hal sebut karena ikan lele rupa jenis ikan yang mudah kembang biak di tempat kotor  ikan lele konsumsi limbah upa kotor hewan seperti ayam  sapi  dan babi  dan manusia  hal itu mungkin ikan lele kandung 3000 sel kanker yang sangat bahaya bagi tubuh manusia  kendati demikian  nikmat ikan lele minta untuk tidak pengaruh dengan informasi sebut  pasal  iklan lele di indonesia beda dengan tiongkok  ikan lele di tanah air dibudidayakan dengan sangat baik oleh para ternak ikan lele  mereka guna pellet bagai makan  bukan guna limbah yang sangat bahaya bagi sehat tubuh manusia seperti di tiongkok  kasihan pembudidaya lele  mereka singgung dan sangat pukul dengan berita itu  informasi bahwa lele kandung 3 000 sel kanker tidak benar  ujar kepala dinas ikan dan laut provinsi jawa timur  heru tjahjono  sabtu  31 10 ,Hoax
28,14,Bena
